Year,actors,Year_bin
2000,Fatah,2000-2009
2000,PNA,2000-2009
2000,Fatah,2000-2009
2000,Hamas,2000-2009
2000,PFLP,2000-2009
2000,PIJ,2000-2009
2000,PNA,2000-2009
2000,AMB,2000-2009
2000,Fatah,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,PNA,2000-2009
2000,AMB,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,AMB,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,Fatah,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,Fatah,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,PRC,2000-2009
2000,Fatah,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,PIJ,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
2000,Hamas,2000-2009
2000,PIJ,2000-2009
