Year,actors,Year_bin
1948,Government of Egypt,1950-1999
1948,Government of Iraq,1950-1999
1948,Government of Jordan,1950-1999
1948,Government of Lebanon,1950-1999
1948,Government of Syria,1950-1999
1948,Government of Egypt,1950-1999
1948,Government of Iraq,1950-1999
1948,Government of Jordan,1950-1999
1948,Government of Lebanon,1950-1999
1948,Government of Syria,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Palestinian insurgents,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,Non PLO groups,1950-1999
1949,PLO,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PLO,1950-1999
1949,Rejectionist Front,1950-1999
1949,PFLP,1950-1999
1949,PFLP-GC,1950-1999
1949,Fatah,1950-1999
1949,Fatah,1950-1999
1949,Fatah,1950-1999
1949,Hamas,1950-1999
1949,Hamas,1950-1999
1949,PIJ,1950-1999
1949,PNA,1950-1999
