actors,0
AMB,3
Fatah,9
Government of Egypt,2
Government of Iraq,2
Government of Jordan,2
Government of Lebanon,2
Government of Syria,2
Hamas,15
Non PLO groups,9
PFLP,2
PFLP-GC,1
PIJ,15
PLO,24
PNA,4
PRC,1
Palestinian insurgents,16
Rejectionist Front,15
