,Unnamed: 0,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction,cluster
44,44,NoInformation,0.0,0.0,2018-06-04 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
45,45,NoInformation,0.0,0.0,2018-06-10 00:00:00,0.0,Afghanistan,0.0,1.0,0.0,0.0,0.0,0.0,1
46,46,NonStateArmedGroups,0.0,0.0,2018-06-14 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,7.0,0.0,1.0,1
47,47,NonStateArmedGroups,1.0,1.0,2018-06-25 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,1.0,0.0,1
48,48,NoInformation,0.0,0.0,2018-06-26 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
49,49,StateActor,1.0,0.0,2018-07-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
50,50,NoInformation,0.0,0.0,2018-07-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
51,51,NonStateArmedGroups,0.0,0.0,2018-07-03 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
52,52,NoInformation,0.0,0.0,2018-07-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
53,53,NoInformation,0.0,0.0,2018-07-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
54,54,NoInformation,0.0,0.0,2018-07-11 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
55,55,NonStateArmedGroups,0.0,0.0,2018-07-19 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,1.0,0.0,0.0,1
56,56,NoInformation,0.0,0.0,2018-07-19 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
57,57,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
58,58,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
59,59,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,1.0,0.0,1
60,60,NoInformation,0.0,0.0,2018-07-23 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
61,61,UnspecNonMilArmed,0.0,0.0,2018-07-24 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,1.0,0.0,0.0,1
62,62,UnspecNonMilArmed,1.0,0.0,2018-07-28 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
