,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
64140,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Arzo village,33.47016,68.48284,Afghanistan,Asia,2020-08-18,2020-08-18,1,0,0,0,1,1,1,3
64141,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Dashti Qala village,37.1577,69.45,Afghanistan,Asia,2020-08-18,2020-08-18,2,0,0,0,2,2,2,0
64142,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Panjwayi district,31.072875,65.158015,Afghanistan,Asia,2020-08-18,2020-08-18,2,0,0,0,2,2,2,1
64143,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Zawol sub-district,33.396841,62.299516,Afghanistan,Asia,2020-08-18,2020-08-18,1,0,0,0,1,1,1,2
64151,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Poshta-e Kharistan village,33.50423,64.34513,Afghanistan,Asia,2020-08-18,2020-08-18,1,0,0,0,1,1,1,2
64152,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Sherkhan Bandar village,37.1881,68.6016,Afghanistan,Asia,2020-08-19,2020-08-19,2,0,4,0,6,6,6,0
64153,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Archi town,37.071301,69.298683,Afghanistan,Asia,2020-08-19,2020-08-19,0,0,3,0,3,3,3,0
64155,2020,State,Government of Afghanistan,Taleban,2,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020"";""Pajhwok News,2020-08-19,4 of a family killed, 6 wounded in Faryab blitz""",NYTimes.com Feed;Pajhwok News,2020-08-06;2020-08-19,Badghis village,36.0504,64.8351,Afghanistan,Asia,2020-08-19,2020-08-19,0,0,4,0,4,4,4,2
64156,2020,State,Government of Afghanistan,Taleban,2,"""Pajhwok News,2020-08-19,7 Taliban killed, 11 injured in Jawzjan clashes"";""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",Pajhwok News;NYTimes.com Feed,2020-08-19;2020-08-06,Kokal Dash village,36.7933,66.3344,Afghanistan,Asia,2020-08-19,2020-08-19,3,4,0,0,7,7,6,0
64158,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Nakarkhel village,34.2639,70.0596,Afghanistan,Asia,2020-08-20,2020-08-20,4,10,0,0,14,14,14,3
