,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
21229,2020,One-Sided,IS,Civilians,1,"""SOHR,2020-05-28,Second murder in May | Iraqi refugee killed in “Al-Hawl mini-state”""",SOHR,2020-05-28,Al Hawl camp,36.376952,41.146688,Syria,Middle East,2020-05-28,2020-05-28,0,0,1,0,1,1,1,1
21230,2020,Non-State,IS,SDF,1,"""SOHR,2020-05-28,ISIS resurgence | Cells slaughter three SDF members, north of Deir ez-Zor""",SOHR,2020-05-28,Al Shahabat village,35.37264,40.18018,Syria,Middle East,2020-05-28,2020-05-28,0,3,0,0,3,3,3,1
21233,2020,State,Government of Syria,Syrian insurgents,2,"""SOHR,2020-05-29,“De-escalation zone” | Clashes erupt between rebels and regime in southern Idlib leaving casualties"";""SOHR,2020-05-29,Ceasefire violations | Nearly ten regime soldiers and jihadists killed in attacks and clashes in southern Idlib""",SOHR;SOHR,2020-05-29;2020-05-29,Fatirah town,35.61,36.4856,Syria,Middle East,2020-05-29,2020-05-29,5,3,0,0,8,8,8,3
21234,2020,State,Government of Syria,IS,1,"""SOHR,2020-05-29,Landmine attacks | Explosion kills two members of “Liwaa Al-Quds” in Al-Mayadin desert""",SOHR,2020-05-29,Faydat al-Jubb salt pan,34.731944,40.313333,Syria,Middle East,2020-05-29,2020-05-29,2,0,0,0,2,2,2,1
21235,2020,One-Sided,SDF,Civilians,1,"""SOHR,2020-05-29,Rural Deir ez-Zor | SDF members kill child at river crossing used for smuggling, and residents SDF headquarters in retaliation""",SOHR,2020-05-29,Diban town,35.0025,40.5117,Syria,Middle East,2020-05-29,2020-05-29,0,0,1,0,1,1,1,1
21236,2020,Non-State,IS,HTS,1,"""SOHR,2020-05-29,Idlib | HTS storms village in countryside, killing former commander of “Jund al-Aqsa”""",SOHR,2020-05-29,Nayrab village,35.87177,36.717282,Syria,Middle East,2020-05-29,2020-05-29,1,0,0,0,1,1,0,3
21237,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-05-30,Ceasefire violations | Turkish artillery pounds regime positions in west Aleppo, while clashes continuing in Jabal Al-Zawiyah""",SOHR,2020-05-30,Banin town,35.71232,36.64004,Syria,Middle East,2020-05-30,2020-05-30,2,2,0,0,4,4,4,3
21238,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-05-30,Landmine attacks | Six regime soldiers killed or injured in explosion in Saraqeb""",SOHR,2020-05-30,Saraqib town,35.86447,36.80591,Syria,Middle East,2020-05-30,2020-05-30,2,0,0,0,2,2,2,3
21239,2020,State,Government of Syria,IS,1,"""SOHR,2020-05-30,ISIS resurgence | nine regime soldiers killed or wounded in two separate explosions in the Syrian desert""",SOHR,2020-05-30,As Sukhnah town,34.8846,38.87491,Syria,Middle East,2020-05-30,2020-05-30,2,0,0,0,2,2,2,0
21240,2020,State,Government of Syria,IS,1,"""SOHR,2020-05-30,ISIS resurgence | nine regime soldiers killed or wounded in two separate explosions in the Syrian desert""",SOHR,2020-05-30,Tadmur district,34.42401,38.6458,Syria,Middle East,2020-05-30,2020-05-30,2,0,0,0,2,2,2,0
