,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
25230,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""Myanmar News,2021-03-22,‘He died in our arms’ - 15-year-old among six killed by regime forces in Mandalay "";""The Irrawaddy,2021-03-26,Names and Faces of the Youngest Victims of Myanmar Regime's Brutality""",Myanmar News;The Irrawaddy,2021-03-22;2021-03-26,Chanmyathazi township,21.936881,96.099927,Myanmar (Burma),Asia,2021-03-21,2021-03-21,0,0,2,0,2,2,2,1
25234,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-03-26,Names and Faces of the Youngest Victims of Myanmar Regime's Brutality"";""The Irrawaddy,2021-03-25,Two More Including 16-Year-Old Boy Killed as Myanmar Regime Continues Crackdowns""",The Irrawaddy;The Irrawaddy,2021-03-26;2021-03-25,Chanmyathazi township,21.936881,96.099927,Myanmar (Burma),Asia,2021-03-24,2021-03-24,0,0,1,0,1,1,1,1
25237,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-26,Names and Faces of the Youngest Victims of Myanmar Regime's Brutality""",The Irrawaddy,2021-03-26,Mandalay region,21.0,96.0,Myanmar (Burma),Asia,2021-03-14,2021-03-14,0,0,1,0,1,1,1,1
25249,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-25,Two More Including 16-Year-Old Boy Killed as Myanmar Regime Continues Crackdowns""",The Irrawaddy,2021-03-25,Kaukpadaung township,20.83329,95.308308,Myanmar (Burma),Asia,2021-03-24,2021-03-24,0,0,1,0,1,1,1,1
25261,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-27,Myanmar Regime Kills 23 More Protesters as It Marks Armed Forces Day""",The Irrawaddy,2021-03-27,Lashio town,22.962994,97.751354,Myanmar (Burma),Asia,2021-03-27,2021-03-27,0,0,3,0,3,3,3,2
25262,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-03-27,Myanmar Regime Kills 23 More Protesters as It Marks Armed Forces Day"";""Kachin News,2021-03-28,Five Demonstrators Killed in Kachin State""",The Irrawaddy;Kachin News,2021-03-27;2021-03-28,Hopin town,24.992913,96.526458,Myanmar (Burma),Asia,2021-03-27,2021-03-27,0,0,1,0,1,1,1,2
25265,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-27,Myanmar Regime Kills 23 More Protesters as It Marks Armed Forces Day""",The Irrawaddy,2021-03-27,Kyaikhto town,17.31051,97.016905,Myanmar (Burma),Asia,2021-03-27,2021-03-27,0,0,1,0,1,1,1,3
25267,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-27,Myanmar Regime Kills 23 More Protesters as It Marks Armed Forces Day""",The Irrawaddy,2021-03-27,Monywa township,22.147711,95.190864,Myanmar (Burma),Asia,2021-03-27,2021-03-27,0,0,1,0,1,1,1,1
25284,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-28,Weekend Bloodshed Continues to Push Myanmar Death Toll Higher""",The Irrawaddy,2021-03-28,Kalay township,23.173189,94.145293,Myanmar (Burma),Asia,2021-03-28,2021-03-28,0,0,1,0,1,1,1,1
25290,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-03-28,Weekend Bloodshed Continues to Push Myanmar Death Toll Higher"";""Myanmar Now,2021-03-29,Regime troops kill eight people in surprise attacks on rallies and neighbourhoods""",The Irrawaddy;Myanmar Now,2021-03-28;2021-03-29,Yangon town,16.79845,96.150408,Myanmar (Burma),Asia,2021-03-28,2021-03-28,0,0,2,0,2,2,2,3
25296,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-28,Weekend Bloodshed Continues to Push Myanmar Death Toll Higher""",The Irrawaddy,2021-03-28,Naypyidaw Union territory,19.45,96.6,Myanmar (Burma),Asia,2021-03-28,2021-03-28,0,0,1,0,1,1,1,0
