,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction
2033,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2034,StateActor,0.0,0.0,2019-09,0.0,Syria,1.0,0.0,0.0,0.0,0.0,0.0
2035,StateActor,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2036,StateActor,1.0,0.0,2019-09,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2037,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,1.0,0.0,0.0,1.0,0.0
2038,StateActor,1.0,0.0,2019-06,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2039,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2040,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2041,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2042,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2043,StateActor,0.0,1.0,2019-11,1.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2044,StateActor,1.0,0.0,2019-09,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2045,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2046,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2047,UnspecNonMilArmed,0.0,2.0,2019-06,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2048,StateActor,1.0,3.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2049,StateActor,1.0,0.0,2019-06,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2050,UnspecNonMilArmed,0.0,1.0,2019-06,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2051,StateActor,1.0,0.0,2019-06,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2052,NonStateArmedGroups,0.0,0.0,2019-06,0.0,Syria,1.0,0.0,0.0,0.0,0.0,0.0
2053,StateActor,1.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,1.0,0.0
2054,StateActor,1.0,0.0,2019-06,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2055,StateActor,0.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,1.0
2056,StateActor,0.0,0.0,2019-07,0.0,Syria,3.0,0.0,0.0,0.0,0.0,0.0
2057,StateActor,0.0,0.0,2019-11,0.0,Syria,0.0,1.0,0.0,0.0,0.0,0.0
2058,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2059,StateActor,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2060,StateActor,0.0,0.0,2019-08,0.0,Syria,1.0,0.0,0.0,0.0,0.0,0.0
2061,StateActor,1.0,0.0,2019-12,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2062,StateActor,1.0,0.0,2019-12,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2063,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2064,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2065,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2066,StateActor,0.0,0.0,2019-07,0.0,Syria,0.0,1.0,0.0,0.0,0.0,0.0
2067,StateActor,0.0,1.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2068,StateActor,0.0,3.0,2019-06,1.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2069,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2070,UnspecNonMilArmed,0.0,1.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2071,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2072,StateActor,0.0,1.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2073,StateActor,0.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,2.0,0.0
2074,StateActor,1.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2075,UnspecNonMilArmed,0.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,1.0,0.0,0.0
2076,StateActor,0.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,1.0
2077,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2078,StateActor,0.0,0.0,2019-09,0.0,Syria,2.0,0.0,0.0,0.0,0.0,0.0
2079,StateActor,0.0,0.0,2019-04,0.0,Syria,0.0,1.0,0.0,0.0,0.0,0.0
2080,StateActor,0.0,0.0,2019-08,0.0,Syria,1.0,0.0,0.0,0.0,0.0,0.0
2081,StateActor,0.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,1.0,0.0
2082,StateActor,0.0,2.0,2019-06,1.0,Syria,0.0,0.0,0.0,0.0,4.0,0.0
2083,StateActor,0.0,1.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2084,UnspecNonMilArmed,0.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,1.0
2085,StateActor,0.0,3.0,2019-07,0.0,Syria,0.0,1.0,0.0,0.0,0.0,0.0
2086,StateActor,0.0,0.0,2019-11,0.0,Syria,0.0,3.0,0.0,0.0,4.0,0.0
2087,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2088,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2089,StateActor,0.0,1.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2090,StateActor,0.0,1.0,2019-12,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2091,StateActor,0.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,2.0,0.0
2092,NonStateArmedGroups,0.0,0.0,2019-09,0.0,Syria,0.0,0.0,0.0,1.0,0.0,0.0
2093,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2094,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2095,UnspecNonMilArmed,0.0,0.0,2019-09,0.0,Syria,1.0,0.0,0.0,0.0,0.0,0.0
2096,StateActor,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2097,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2098,NoInformation,0.0,1.0,2019-09,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2099,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2100,UnspecNonMilArmed,0.0,0.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2101,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2102,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2103,StateActor,1.0,0.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2104,NoInformation,1.0,0.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2105,UnspecNonMilArmed,0.0,0.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2106,StateActor,0.0,1.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2107,UnspecNonMilArmed,0.0,1.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2108,UnspecNonMilArmed,0.0,2.0,2019-10,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2109,UnspecNonMilArmed,0.0,1.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2110,UnspecNonMilArmed,0.0,1.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,1.0,0.0
2111,StateActor,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2112,StateActor,0.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,2.0,1.0
2113,StateActor,1.0,0.0,2019-05,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2114,StateActor,1.0,0.0,2019-03,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2115,StateActor,1.0,0.0,2019-03,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2116,StateActor,1.0,0.0,2019-03,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2117,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2118,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2119,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2120,StateActor,1.0,0.0,2019-07,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2121,StateActor,1.0,0.0,2019-09,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2122,StateActor,1.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2123,NoInformation,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,4.0,0.0
2124,NoInformation,0.0,1.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2125,StateActor,0.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,1.0
2126,StateActor,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2127,StateActor,0.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,1.0
2128,StateActor,1.0,0.0,2019-04,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2129,StateActor,1.0,0.0,2019-11,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2130,NonStateArmedGroups,0.0,0.0,2019-12,0.0,Syria,0.0,0.0,0.0,1.0,0.0,0.0
2131,NoInformation,0.0,3.0,2019-12,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2132,NoInformation,1.0,0.0,2019-12,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2133,StateActor,1.0,0.0,2019-04,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2134,StateActor,0.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,0.0,1.0
2135,NoInformation,1.0,0.0,2019-12,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2136,UnspecNonMilArmed,0.0,0.0,2019-12,0.0,Syria,0.0,0.0,0.0,1.0,0.0,0.0
2137,StateActor,1.0,0.0,2019-08,0.0,Syria,0.0,0.0,0.0,0.0,1.0,0.0
2138,NoInformation,1.0,0.0,2019-01,0.0,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0
2139,StateActor,0.0,1.0,2019-03,0.0,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0
2140,UnspecNonMilArmed,0.0,0.0,2019-07,0.0,Ukraine,0.0,1.0,0.0,0.0,0.0,0.0
2141,NonStateArmedGroups,0.0,0.0,2019-01,0.0,Yemen,0.0,0.0,0.0,2.0,0.0,0.0
2142,NonStateArmedGroups,1.0,0.0,2019-01,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2143,NonStateArmedGroups,1.0,0.0,2019-03,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2144,NonStateArmedGroups,0.0,0.0,2019-03,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2145,UnspecNonMilArmed,0.0,1.0,2019-06,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2146,UnspecNonMilArmed,0.0,0.0,2019-07,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2147,NoInformation,0.0,0.0,2019-12,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2148,NoInformation,1.0,0.0,2019-11,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2149,NonStateArmedGroups,0.0,0.0,2019-12,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2150,NonStateArmedGroups,0.0,0.0,2019-11,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2151,UnspecNonMilArmed,0.0,0.0,2019-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2152,UnspecNonMilArmed,0.0,0.0,2019-12,0.0,Yemen,0.0,0.0,0.0,0.0,1.0,0.0
2153,NoInformation,0.0,0.0,2019-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2154,NonStateArmedGroups,0.0,1.0,2019-02,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2155,NonStateArmedGroups,0.0,0.0,2019-05,0.0,Yemen,0.0,0.0,0.0,0.0,1.0,0.0
2156,NonStateArmedGroups,0.0,0.0,2019-10,0.0,Yemen,0.0,0.0,0.0,0.0,1.0,0.0
2157,NonStateArmedGroups,1.0,0.0,2019-01,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2158,NonStateArmedGroups,1.0,0.0,2019-03,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2159,NonStateArmedGroups,0.0,0.0,2019-05,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2160,UnspecNonMilArmed,1.0,0.0,2019-12,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2161,UnspecNonMilArmed,0.0,0.0,2019-09,0.0,Yemen,0.0,0.0,10.0,0.0,0.0,0.0
2162,StateActor,1.0,1.0,2019-03,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2163,UnspecNonMilArmed,0.0,1.0,2019-08,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2164,NoInformation,0.0,0.0,2019-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2165,NoInformation,1.0,0.0,2019-06,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2166,NoInformation,1.0,0.0,2019-06,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2167,NoInformation,0.0,0.0,2019-08,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2168,NoInformation,1.0,0.0,2019-11,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2169,NoInformation,0.0,0.0,2019-03,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2170,NoInformation,0.0,0.0,2019-03,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2171,NoInformation,0.0,0.0,2019-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2172,NoInformation,0.0,0.0,2019-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2173,NoInformation,0.0,0.0,2019-05,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2174,NoInformation,0.0,0.0,2019-05,0.0,Yemen,0.0,0.0,0.0,0.0,1.0,0.0
2175,NoInformation,0.0,0.0,2019-05,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2176,NonStateActor,0.0,2.0,2020-05,0.0,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0
2177,NonStateActor,0.0,1.0,2020-01,0.0,Syria,0.0,0.0,0.0,0.0,0.0,0.0
2178,NonStateActor,0.0,1.0,2020-12,0.0,CAR,0.0,0.0,0.0,0.0,0.0,0.0
2179,NoInformation,0.0,2.0,2020-06,0.0,Libya,0.0,0.0,0.0,0.0,0.0,0.0
2180,NonStateActor,0.0,1.0,2020-05,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0
2181,NonStateActor,0.0,1.0,2020-06,0.0,Mexico,0.0,0.0,0.0,0.0,0.0,0.0
2182,NonStateActor,0.0,1.0,2020-07,0.0,Mexico,0.0,0.0,0.0,0.0,0.0,0.0
2183,NonStateActor,0.0,1.0,2020-11,0.0,Mexico,0.0,0.0,0.0,0.0,0.0,0.0
2184,NonStateActor,0.0,2.0,2020-10,0.0,Somalia,0.0,0.0,0.0,0.0,0.0,0.0
2185,NonStateActor,0.0,1.0,2020-01,0.0,El Salvador,0.0,0.0,0.0,0.0,0.0,0.0
2186,NonStateActor,0.0,0.0,2020-01,0.0,Iraq,0.0,0.0,0.0,1.0,0.0,0.0
2187,NoInformation,0.0,1.0,2020-01,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
2188,NonStateActor,1.0,0.0,2020-01,0.0,Iran,0.0,0.0,0.0,0.0,0.0,0.0
2189,NonStateActor,0.0,1.0,2020-01,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0
2190,NonStateActor,0.0,2.0,2020-01,0.0,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0
2191,NonStateActor,0.0,0.0,2020-01,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
2192,NonStateActor,0.0,1.0,2020-02,0.0,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0
2193,NonStateActor,0.0,0.0,2020-02,0.0,Philippines,0.0,0.0,0.0,1.0,0.0,0.0
2194,NonStateActor,0.0,0.0,2020-02,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0
2195,NoInformation,0.0,1.0,2020-02,0.0,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0
2196,NonStateActor,0.0,0.0,2020-08,0.0,Niger,0.0,0.0,0.0,1.0,0.0,0.0
2197,NonStateActor,0.0,0.0,2020-02,0.0,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0
2198,NonStateActor,0.0,0.0,2020-02,0.0,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0
2199,Civilian,1.0,0.0,2020-02,0.0,Iran,0.0,0.0,0.0,0.0,0.0,0.0
2200,NoInformation,0.0,0.0,2020-03,0.0,Ethiopia,0.0,0.0,0.0,0.0,1.0,0.0
2201,NonStateActor,0.0,0.0,2020-03,0.0,Egypt,0.0,1.0,0.0,0.0,0.0,0.0
2202,NonStateActor,0.0,0.0,2020-03,0.0,Greece,0.0,0.0,0.0,0.0,0.0,0.0
2203,NonStateActor,0.0,0.0,2020-03,1.0,Kenya,0.0,0.0,0.0,0.0,0.0,0.0
2204,NonStateActor,0.0,0.0,2020-03,0.0,Kenya,0.0,1.0,0.0,0.0,0.0,0.0
2205,NonStateActor,0.0,0.0,2020-04,0.0,Niger,0.0,0.0,1.0,0.0,0.0,0.0
2206,NonStateActor,0.0,0.0,2020-04,0.0,Iraq,0.0,0.0,0.0,1.0,0.0,0.0
2207,NonStateActor,0.0,0.0,2020-04,0.0,Brazil,0.0,0.0,0.0,0.0,1.0,0.0
2208,NonStateActor,0.0,1.0,2020-04,0.0,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0
2209,NonStateActor,0.0,0.0,2020-05,0.0,Egypt,0.0,1.0,0.0,0.0,0.0,0.0
2210,NonStateActor,0.0,3.0,2020-05,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0
2211,NonStateActor,0.0,1.0,2020-05,0.0,Uganda,0.0,0.0,0.0,0.0,0.0,0.0
2212,StateForces,0.0,0.0,2020-05,0.0,Burundi,4.0,0.0,0.0,0.0,0.0,0.0
2213,StateForces,0.0,0.0,2020-05,0.0,Lebanon,0.0,0.0,0.0,0.0,0.0,0.0
2214,NonStateActor,0.0,0.0,2020-05,0.0,Colombia,0.0,0.0,0.0,2.0,0.0,0.0
2215,NonStateActor,0.0,1.0,2020-05,0.0,Niger,0.0,0.0,0.0,0.0,0.0,0.0
2216,NonStateActor,0.0,1.0,2020-05,0.0,Indonesia,0.0,0.0,0.0,0.0,1.0,0.0
2217,StateForces,0.0,0.0,2020-06,0.0,USA,0.0,0.0,0.0,0.0,1.0,0.0
2218,NonStateActor,0.0,0.0,2020-06,0.0,Niger,0.0,1.0,0.0,1.0,0.0,0.0
2219,StateForces,0.0,0.0,2020-06,0.0,USA,1.0,0.0,0.0,0.0,1.0,0.0
2220,StateForces,0.0,0.0,2020-06,0.0,USA,1.0,0.0,0.0,0.0,0.0,0.0
2221,StateForces,0.0,0.0,2020-06,0.0,USA,1.0,0.0,0.0,0.0,0.0,0.0
2222,StateForces,0.0,0.0,2020-06,0.0,USA,1.0,0.0,0.0,0.0,0.0,0.0
2223,StateForces,0.0,0.0,2020-06,0.0,Pakistan,0.0,0.0,0.0,0.0,1.0,0.0
2224,NonStateActor,1.0,0.0,2020-06,0.0,Turkey,0.0,0.0,0.0,0.0,0.0,0.0
2225,NonStateActor,0.0,0.0,2020-06,0.0,Pakistan,0.0,0.0,0.0,0.0,1.0,0.0
2226,StateForces,0.0,0.0,2020-06,0.0,USA,0.0,0.0,0.0,0.0,1.0,0.0
2227,NonStateActor,0.0,0.0,2020-06,0.0,Philippines,0.0,0.0,0.0,0.0,1.0,0.0
2228,NonStateActor,0.0,0.0,2020-06,0.0,Niger,0.0,0.0,1.0,0.0,0.0,0.0
2229,NonStateActor,0.0,0.0,2020-07,0.0,Niger,0.0,0.0,0.0,0.0,0.0,0.0
2230,StateForces,0.0,0.0,2020-07,0.0,Pakistan,0.0,0.0,0.0,0.0,1.0,0.0
2231,StateForces,0.0,1.0,2020-07,0.0,Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0
2232,Multiple,0.0,0.0,2020-07,0.0,Philippines,0.0,0.0,0.0,0.0,0.0,0.0
2233,NoInformation,0.0,1.0,2020-07,0.0,Ukraine,0.0,0.0,0.0,0.0,2.0,0.0
2234,StateForces,0.0,0.0,2020-07,0.0,USA,0.0,0.0,0.0,0.0,1.0,0.0
2235,StateForces,0.0,0.0,2020-07,0.0,USA,0.0,0.0,0.0,0.0,1.0,0.0
2236,StateForces,0.0,0.0,2020-07,0.0,USA,0.0,0.0,0.0,0.0,1.0,0.0
2237,StateForces,0.0,0.0,2020-07,0.0,USA,0.0,0.0,0.0,0.0,1.0,0.0
2238,NonStateActor,0.0,1.0,2020-08,0.0,Philippines,0.0,0.0,0.0,0.0,0.0,0.0
2239,Multiple,0.0,0.0,2020-08,0.0,Haiti,0.0,0.0,0.0,0.0,0.0,1.0
2240,NonStateActor,0.0,1.0,2020-08,0.0,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0
2241,NonStateActor,0.0,1.0,2020-08,0.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0
2242,StateForces,0.0,1.0,2020-08,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0
2243,StateForces,0.0,0.0,2020-08,0.0,India,0.0,0.0,0.0,0.0,0.0,0.0
2244,StateForces,0.0,0.0,2020-09,0.0,India,0.0,0.0,0.0,1.0,0.0,0.0
2245,StateForces,0.0,0.0,2020-09,0.0,Venezuela,1.0,0.0,0.0,0.0,0.0,0.0
2246,NonStateActor,0.0,0.0,2020-09,0.0,Burundi,0.0,0.0,0.0,0.0,0.0,0.0
2247,NonStateActor,0.0,1.0,2020-09,0.0,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0
2248,StateForces,0.0,0.0,2020-09,0.0,Greece,0.0,0.0,0.0,0.0,0.0,0.0
2249,NonStateActor,0.0,0.0,2020-09,0.0,Niger,0.0,0.0,,0.0,0.0,0.0
2250,NonStateActor,0.0,0.0,2020-09,0.0,Pakistan,0.0,0.0,0.0,5.0,0.0,0.0
2251,NonStateActor,0.0,0.0,2020-09,0.0,Niger,0.0,1.0,2.0,0.0,0.0,0.0
2252,NonStateActor,0.0,1.0,2020-10,0.0,Philippines,0.0,0.0,0.0,0.0,0.0,0.0
2253,NoInformation,0.0,0.0,2020-10,0.0,Haiti,0.0,0.0,0.0,1.0,0.0,0.0
2254,NonStateActor,0.0,0.0,2020-10,0.0,Philippines,0.0,0.0,0.0,0.0,0.0,0.0
2255,NoInformation,0.0,0.0,2020-10,0.0,Haiti,0.0,0.0,0.0,1.0,0.0,0.0
2256,NonStateActor,0.0,0.0,2020-11,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0
2257,NoInformation,0.0,0.0,2020-11,0.0,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0
2258,NonStateActor,0.0,0.0,2020-11,0.0,Philippines,0.0,0.0,0.0,0.0,0.0,0.0
2259,NonStateActor,0.0,0.0,2020-11,0.0,Ethiopia,0.0,3.0,0.0,0.0,0.0,0.0
2260,Multiple,0.0,0.0,2020-11,0.0,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0
2261,NonStateActor,0.0,0.0,2020-11,0.0,Haiti,0.0,0.0,0.0,1.0,0.0,0.0
2262,NonStateActor,0.0,0.0,2020-12,0.0,Venezuela,0.0,0.0,0.0,0.0,2.0,0.0
2263,StateForces,0.0,0.0,2020-12,0.0,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0
2264,Multiple,0.0,0.0,2020-12,0.0,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0
2265,NonStateActor,0.0,0.0,2020-12,0.0,Brazil,0.0,0.0,0.0,0.0,0.0,0.0
2266,NonStateActor,0.0,0.0,2020-12,0.0,Kenya,0.0,0.0,0.0,0.0,2.0,0.0
2267,NonStateActor,0.0,0.0,2020-12,0.0,Colombia,0.0,1.0,0.0,0.0,0.0,0.0
2268,StateForces,0.0,0.0,2020-01,0.0,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0
2269,NonStateActor,0.0,0.0,2020-03,0.0,Syria,0.0,0.0,0.0,0.0,1.0,0.0
2270,NoInformation,0.0,0.0,2020-05,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
2271,NoInformation,0.0,0.0,2020-01,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
2272,NoInformation,0.0,0.0,2020-01,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
2273,NoInformation,1.0,0.0,2020-01,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
2274,NoInformation,0.0,0.0,2020-01,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
2275,StateForces,1.0,0.0,2020-05,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
2276,NonStateActor,0.0,0.0,2020-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
2277,NonStateActor,0.0,1.0,2020-06,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
2278,NonStateActor,0.0,1.0,2020-08,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
2279,NonStateActor,0.0,1.0,2020-09,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
2280,NonStateActor,0.0,0.0,2020-01,0.0,Nigeria,0.0,0.0,0.0,1.0,0.0,0.0
2281,NoInformation,0.0,0.0,2020-01,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
2282,NoInformation,0.0,0.0,2020-01,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
2283,NonStateActor,1.0,0.0,2020-04,0.0,Yemen,0.0,0.0,0.0,0.0,0.0,0.0
