,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction
47,NonStateArmedGroups,1.0,1.0,2018-06-25 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,1.0,0.0
48,NoInformation,0.0,0.0,2018-06-26 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
49,StateActor,1.0,0.0,2018-07-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
50,NoInformation,0.0,0.0,2018-07-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
51,NonStateArmedGroups,0.0,0.0,2018-07-03 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
52,NoInformation,0.0,0.0,2018-07-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
53,NoInformation,0.0,0.0,2018-07-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
54,NoInformation,0.0,0.0,2018-07-11 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
55,NonStateArmedGroups,0.0,0.0,2018-07-19 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,1.0,0.0,0.0
56,NoInformation,0.0,0.0,2018-07-19 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
57,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
58,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
59,NoInformation,0.0,0.0,2018-07-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,1.0,0.0
60,NoInformation,0.0,0.0,2018-07-23 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
61,UnspecNonMilArmed,0.0,0.0,2018-07-24 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,1.0,0.0,0.0
